query_model,db_model,dim_x,dim_y,same_dim,K,seed,sim_mean,method,zscore_applied,alpha,recall_at_1,recall_at_5,recall_at_10,mrr,median_rank
A,Q,384,1024,False,200,314,0.012948459945619106,RAT,True,,0.002,0.014,0.026,0.01483253951624951,242
A,Q,384,1024,False,200,314,0.012948459945619106,Ridge,,100.0,0.004,0.018,0.018,0.01689818777765325,249
A,Q,384,1024,False,200,314,0.012948459945619106,Affine,,0.0001,0.004,0.008,0.014,0.01454560087087789,250
A,Q,384,1024,False,500,314,0.019699418917298317,RAT,True,,0.0,0.008,0.014,0.011374047072165811,251
A,Q,384,1024,False,500,314,0.019699418917298317,Ridge,,0.0001,0.0,0.002,0.014,0.009387946777051393,263
A,Q,384,1024,False,500,314,0.019699418917298317,Affine,,1.0,0.002,0.012,0.014,0.013320377729471077,257
B,A,1024,384,False,10,314,0.6568155884742737,RAT,False,,0.004,0.028,0.048,0.02250426812144047,182
B,A,1024,384,False,10,314,0.6568155884742737,Ridge,,0.0001,0.044,0.144,0.186,0.10050174966155928,79
B,A,1024,384,False,10,314,0.6568155884742737,Affine,,0.0001,0.044,0.142,0.186,0.0995365904727336,79
B,A,1024,384,False,25,314,0.6729841232299805,RAT,False,,0.004,0.022,0.036,0.022281424351593915,149
B,A,1024,384,False,25,314,0.6729841232299805,Ridge,,0.0001,0.1,0.3,0.444,0.20581736008318968,13
B,A,1024,384,False,25,314,0.6729841232299805,Affine,,0.0001,0.1,0.298,0.44,0.20576595852923868,13
B,A,1024,384,False,50,314,0.6826881170272827,RAT,False,,0.002,0.032,0.04,0.02541397747300029,129
B,A,1024,384,False,50,314,0.6826881170272827,Ridge,,0.0001,0.324,0.648,0.764,0.4665803616895319,3
B,A,1024,384,False,50,314,0.6826881170272827,Affine,,0.0001,0.324,0.646,0.764,0.4662937352796798,3
B,A,1024,384,False,100,314,0.6903446316719055,RAT,False,,0.004,0.02,0.044,0.027755017231180908,105
B,A,1024,384,False,100,314,0.6903446316719055,Ridge,,0.0001,0.682,0.914,0.954,0.7808269975072667,1
B,A,1024,384,False,100,314,0.6903446316719055,Affine,,0.0001,0.684,0.914,0.954,0.7817069083462019,1
B,A,1024,384,False,200,314,0.6956825852394104,RAT,False,,0.002,0.014,0.042,0.02760779841874803,73
B,A,1024,384,False,200,314,0.6956825852394104,Ridge,,0.01,0.858,0.982,0.994,0.9109874420900738,1
B,A,1024,384,False,200,314,0.6956825852394104,Affine,,0.01,0.858,0.984,0.994,0.911482178932179,1
B,A,1024,384,False,500,314,0.7050653696060181,RAT,False,,0.004,0.018,0.036,0.027231808131677613,84
B,A,1024,384,False,500,314,0.7050653696060181,Ridge,,0.01,0.944,0.992,0.998,0.9668482142857142,1
B,A,1024,384,False,500,314,0.7050653696060181,Affine,,0.01,0.946,0.992,0.998,0.9678968253968254,1
B,C,1024,384,False,10,314,0.6568155884742737,RAT,False,,0.014,0.07,0.138,0.05780545796623583,87
B,C,1024,384,False,10,314,0.6568155884742737,Ridge,,0.0001,0.024,0.088,0.14,0.0699820392677433,88
B,C,1024,384,False,10,314,0.6568155884742737,Affine,,0.0001,0.022,0.088,0.142,0.0679955932076297,89
B,C,1024,384,False,25,314,0.6729841232299805,RAT,False,,0.034,0.092,0.166,0.08240253474388236,49
B,C,1024,384,False,25,314,0.6729841232299805,Ridge,,0.0001,0.076,0.262,0.382,0.17870662009037094,17
B,C,1024,384,False,25,314,0.6729841232299805,Affine,,0.0001,0.078,0.262,0.388,0.18113432440126281,17
B,C,1024,384,False,50,314,0.6826881170272827,RAT,False,,0.032,0.114,0.202,0.09207550442692002,39
B,C,1024,384,False,50,314,0.6826881170272827,Ridge,,0.0001,0.252,0.552,0.694,0.39459036216779875,4
B,C,1024,384,False,50,314,0.6826881170272827,Affine,,0.0001,0.252,0.548,0.704,0.39736743617708187,4
B,C,1024,384,False,100,314,0.6903446316719055,RAT,False,,0.092,0.232,0.324,0.16889184426910522,28
B,C,1024,384,False,100,314,0.6903446316719055,Ridge,,0.0001,0.632,0.87,0.946,0.7370183695531555,1
B,C,1024,384,False,100,314,0.6903446316719055,Affine,,0.0001,0.636,0.878,0.946,0.7411076085679178,1
B,C,1024,384,False,200,314,0.6956825852394104,RAT,False,,0.14,0.34,0.478,0.2460801844015361,12
B,C,1024,384,False,200,314,0.6956825852394104,Ridge,,0.0001,0.874,0.99,1.0,0.9254301587301588,1
B,C,1024,384,False,200,314,0.6956825852394104,Affine,,0.0001,0.872,0.99,1.0,0.9240968253968254,1
B,C,1024,384,False,500,314,0.7050653696060181,RAT,False,,0.228,0.456,0.586,0.3425002002883197,7
B,C,1024,384,False,500,314,0.7050653696060181,Ridge,,0.01,0.974,1.0,1.0,0.9866666666666666,1
B,C,1024,384,False,500,314,0.7050653696060181,Affine,,0.01,0.974,1.0,1.0,0.9866666666666666,1
B,N,1024,768,False,10,314,0.6568155884742737,RAT,False,,0.0,0.012,0.024,0.013150279497702921,251
B,N,1024,768,False,10,314,0.6568155884742737,Ridge,,0.0001,0.004,0.01,0.026,0.015343474968324276,257
B,N,1024,768,False,10,314,0.6568155884742737,Affine,,0.0001,0.004,0.01,0.026,0.015438504365935257,256
B,N,1024,768,False,25,314,0.6729841232299805,RAT,False,,0.0,0.018,0.024,0.0132603656912559,247
B,N,1024,768,False,25,314,0.6729841232299805,Ridge,,0.0001,0.006,0.022,0.03,0.018834771783869872,256
B,N,1024,768,False,25,314,0.6729841232299805,Affine,,0.0001,0.006,0.024,0.03,0.018983953040970045,256
B,N,1024,768,False,50,314,0.6826881170272827,RAT,False,,0.004,0.012,0.018,0.01525473563631515,254
B,N,1024,768,False,50,314,0.6826881170272827,Ridge,,0.0001,0.006,0.012,0.02,0.017568681238401766,250
B,N,1024,768,False,50,314,0.6826881170272827,Affine,,0.0001,0.006,0.012,0.02,0.017610902796323553,249
B,N,1024,768,False,100,314,0.6903446316719055,RAT,False,,0.0,0.016,0.024,0.013333153630475015,248
B,N,1024,768,False,100,314,0.6903446316719055,Ridge,,1.0,0.006,0.012,0.018,0.016944505928676547,248
B,N,1024,768,False,100,314,0.6903446316719055,Affine,,0.0001,0.006,0.012,0.016,0.016403515239840266,246
B,N,1024,768,False,200,314,0.6956825852394104,RAT,False,,0.0,0.012,0.02,0.012215635997973675,244
B,N,1024,768,False,200,314,0.6956825852394104,Ridge,,1.0,0.004,0.016,0.024,0.016272285336453442,250
B,N,1024,768,False,200,314,0.6956825852394104,Affine,,1.0,0.004,0.016,0.024,0.01632758639409598,249
B,N,1024,768,False,500,314,0.7050653696060181,RAT,False,,0.0,0.01,0.02,0.011929396135183115,249
B,N,1024,768,False,500,314,0.7050653696060181,Ridge,,0.0001,0.002,0.006,0.012,0.01096216472724409,247
B,N,1024,768,False,500,314,0.7050653696060181,Affine,,0.0001,0.002,0.008,0.012,0.01147972287862823,248
B,O,1024,384,False,10,314,0.6568155884742737,RAT,False,,0.004,0.018,0.034,0.01739305158474539,246
B,O,1024,384,False,10,314,0.6568155884742737,Ridge,,0.0001,0.002,0.01,0.016,0.013496717254275299,249
B,O,1024,384,False,10,314,0.6568155884742737,Affine,,0.0001,0.002,0.008,0.012,0.013369228839708985,249
B,O,1024,384,False,25,314,0.6729841232299805,RAT,False,,0.002,0.008,0.018,0.013251794027862958,251
B,O,1024,384,False,25,314,0.6729841232299805,Ridge,,0.0001,0.002,0.016,0.026,0.015757151943423208,246
B,O,1024,384,False,25,314,0.6729841232299805,Affine,,0.0001,0.002,0.016,0.026,0.015482253919843845,246
B,O,1024,384,False,50,314,0.6826881170272827,RAT,False,,0.004,0.014,0.024,0.015859784326175495,253
B,O,1024,384,False,50,314,0.6826881170272827,Ridge,,0.0001,0.004,0.018,0.022,0.01858511164324948,245
B,O,1024,384,False,50,314,0.6826881170272827,Affine,,0.0001,0.006,0.018,0.026,0.019670257901102127,246
B,O,1024,384,False,100,314,0.6903446316719055,RAT,False,,0.0,0.006,0.016,0.0117257128351561,247
B,O,1024,384,False,100,314,0.6903446316719055,Ridge,,1.0,0.002,0.006,0.028,0.013693102513268744,251
B,O,1024,384,False,100,314,0.6903446316719055,Affine,,1.0,0.002,0.006,0.028,0.013684208708258871,251
B,O,1024,384,False,200,314,0.6956825852394104,RAT,False,,0.004,0.008,0.022,0.014147557240133054,249
B,O,1024,384,False,200,314,0.6956825852394104,Ridge,,0.0001,0.004,0.006,0.01,0.013188955482583,248
B,O,1024,384,False,200,314,0.6956825852394104,Affine,,0.0001,0.004,0.006,0.01,0.013176127939537612,248
B,O,1024,384,False,500,314,0.7050653696060181,RAT,False,,0.006,0.012,0.014,0.01629204792170508,252
B,O,1024,384,False,500,314,0.7050653696060181,Ridge,,0.0001,0.006,0.014,0.022,0.016535684156677406,258
B,O,1024,384,False,500,314,0.7050653696060181,Affine,,0.0001,0.006,0.01,0.022,0.016269039618575128,258
B,P,1024,384,False,10,314,0.6568155884742737,RAT,False,,0.004,0.008,0.018,0.014702601452107245,254
B,P,1024,384,False,10,314,0.6568155884742737,Ridge,,1.0,0.002,0.01,0.022,0.013311918803493443,249
B,P,1024,384,False,10,314,0.6568155884742737,Affine,,1.0,0.002,0.01,0.022,0.013402282100242873,245
B,P,1024,384,False,25,314,0.6729841232299805,RAT,False,,0.002,0.018,0.034,0.01652692657744658,243
B,P,1024,384,False,25,314,0.6729841232299805,Ridge,,0.0001,0.002,0.016,0.028,0.015445984572846452,241
B,P,1024,384,False,25,314,0.6729841232299805,Affine,,0.0001,0.002,0.016,0.028,0.015503532611564499,241
B,P,1024,384,False,50,314,0.6826881170272827,RAT,False,,0.002,0.012,0.016,0.014586592480857212,226
B,P,1024,384,False,50,314,0.6826881170272827,Ridge,,0.0001,0.008,0.012,0.026,0.01900277881714754,237
B,P,1024,384,False,50,314,0.6826881170272827,Affine,,0.0001,0.008,0.012,0.022,0.019293677665773754,236
B,P,1024,384,False,100,314,0.6903446316719055,RAT,False,,0.004,0.006,0.02,0.013570569910297994,243
B,P,1024,384,False,100,314,0.6903446316719055,Ridge,,1.0,0.004,0.01,0.022,0.015154317417040488,247
B,P,1024,384,False,100,314,0.6903446316719055,Affine,,1.0,0.004,0.012,0.022,0.01521241202170621,247
B,P,1024,384,False,200,314,0.6956825852394104,RAT,False,,0.004,0.008,0.014,0.014683076010964614,246
B,P,1024,384,False,200,314,0.6956825852394104,Ridge,,1.0,0.004,0.008,0.024,0.014574800477772605,249
B,P,1024,384,False,200,314,0.6956825852394104,Affine,,0.0001,0.002,0.004,0.014,0.011445572726094214,249
B,P,1024,384,False,500,314,0.7050653696060181,RAT,False,,0.004,0.01,0.02,0.01487629956861625,248
B,P,1024,384,False,500,314,0.7050653696060181,Ridge,,0.0001,0.004,0.012,0.016,0.014903788456061683,240
B,P,1024,384,False,500,314,0.7050653696060181,Affine,,0.0001,0.008,0.012,0.014,0.01713488369677394,240
B,Q,1024,1024,True,10,314,0.6568155884742737,RAT,False,,0.002,0.018,0.03,0.015391930153041085,254
B,Q,1024,1024,True,10,314,0.6568155884742737,Procrustes,,,0.006,0.014,0.03,0.018792543501670943,264
B,Q,1024,1024,True,10,314,0.6568155884742737,Ridge,,1.0,0.002,0.01,0.024,0.013238910904055766,252
B,Q,1024,1024,True,10,314,0.6568155884742737,Affine,,1.0,0.002,0.01,0.026,0.013268706259420508,251
B,Q,1024,1024,True,25,314,0.6729841232299805,RAT,False,,0.002,0.016,0.026,0.01594598004654517,249
B,Q,1024,1024,True,25,314,0.6729841232299805,Procrustes,,,0.002,0.014,0.034,0.017109015023618238,251
B,Q,1024,1024,True,25,314,0.6729841232299805,Ridge,,0.01,0.004,0.014,0.022,0.01616909620722368,253
B,Q,1024,1024,True,25,314,0.6729841232299805,Affine,,0.0001,0.004,0.012,0.026,0.01621332318327568,254
B,Q,1024,1024,True,50,314,0.6826881170272827,RAT,False,,0.006,0.018,0.026,0.018297473863896126,251
B,Q,1024,1024,True,50,314,0.6826881170272827,Procrustes,,,0.0,0.012,0.022,0.013757195419106171,252
B,Q,1024,1024,True,50,314,0.6826881170272827,Ridge,,0.0001,0.006,0.014,0.018,0.016896038498684582,248
B,Q,1024,1024,True,50,314,0.6826881170272827,Affine,,0.0001,0.006,0.014,0.018,0.016907909665896854,248
B,Q,1024,1024,True,100,314,0.6903446316719055,RAT,False,,0.004,0.014,0.02,0.015478859713092959,250
B,Q,1024,1024,True,100,314,0.6903446316719055,Procrustes,,,0.002,0.008,0.016,0.013517252942978751,251
B,Q,1024,1024,True,100,314,0.6903446316719055,Ridge,,1.0,0.004,0.012,0.014,0.01461618113052017,250
B,Q,1024,1024,True,100,314,0.6903446316719055,Affine,,1.0,0.004,0.012,0.014,0.014618963166363987,250
B,Q,1024,1024,True,200,314,0.6956825852394104,RAT,False,,0.002,0.01,0.02,0.013643044693975426,247
B,Q,1024,1024,True,200,314,0.6956825852394104,Procrustes,,,0.0,0.006,0.01,0.010367023521397439,255
B,Q,1024,1024,True,200,314,0.6956825852394104,Ridge,,1.0,0.002,0.006,0.022,0.012432985677618427,257
B,Q,1024,1024,True,200,314,0.6956825852394104,Affine,,1.0,0.002,0.006,0.022,0.01245712144709821,258
B,Q,1024,1024,True,500,314,0.7050653696060181,RAT,False,,0.002,0.008,0.018,0.013295068644046054,249
B,Q,1024,1024,True,500,314,0.7050653696060181,Procrustes,,,0.0,0.004,0.018,0.011118133788005757,255
B,Q,1024,1024,True,500,314,0.7050653696060181,Ridge,,0.0001,0.002,0.008,0.016,0.012783432063813067,255
B,Q,1024,1024,True,500,314,0.7050653696060181,Affine,,0.0001,0.002,0.008,0.016,0.012841672236279869,253
C,A,384,384,True,10,314,0.30609363317489624,RAT,True,,0.082,0.258,0.39,0.17665231993986938,18
C,A,384,384,True,10,314,0.30609363317489624,Procrustes,,,0.024,0.072,0.12,0.056201652104060154,161
C,A,384,384,True,10,314,0.30609363317489624,Ridge,,0.0001,0.026,0.126,0.198,0.09002221373310867,69
